datetime,MAIN,SIDE,SOUP,DESSERT,SALAD,BOTTLE,DRINK,ICE_CREAM,SWEETS_N_SNACKS,BAKED_GOOD,CONDIMENT,FRUIT,ALCOHOL,OTHER,TOTAL_SALES
2023-01-19 12:45:00,44,24,0,14,19,10,0,0,0,0,0,0,0,0,111
2023-01-19 13:00:00,74,32,0,27,32,13,0,0,0,0,0,0,0,0,178
2023-01-19 13:15:00,74,41,0,25,25,20,0,0,0,0,0,0,0,0,185
2023-01-19 13:30:00,84,51,0,31,29,14,0,0,0,0,0,0,0,0,209
2023-01-19 13:45:00,70,47,0,35,17,20,0,0,0,0,0,0,0,0,189
2023-01-19 14:00:00,74,56,0,28,23,22,0,0,0,0,0,0,0,0,203
2023-01-20 11:30:00,22,9,0,7,6,2,0,0,0,0,0,0,0,0,46
2023-01-20 11:45:00,57,19,3,25,12,10,0,0,0,0,0,0,0,0,126
2023-01-20 12:00:00,65,31,2,32,30,10,0,0,0,0,0,0,0,0,170
2023-01-20 12:15:00,70,30,3,26,19,11,0,0,0,0,0,0,0,0,159
2023-01-20 12:30:00,50,16,2,20,18,8,0,0,0,0,0,0,0,0,114
2023-01-20 12:45:00,43,34,3,26,22,10,0,0,0,0,0,0,0,0,138
2023-01-20 13:00:00,67,30,1,27,36,23,0,0,0,0,0,0,0,0,184
2023-01-20 13:15:00,79,38,1,15,32,23,0,0,0,0,0,0,0,0,188
2023-01-20 13:30:00,55,42,4,18,22,10,0,0,0,0,0,0,0,0,151
2023-01-20 13:45:00,28,19,3,10,11,4,0,0,0,0,0,0,0,0,75
2023-01-20 14:00:00,19,9,0,5,6,3,0,0,0,0,0,0,0,0,42
2023-01-23 11:30:00,52,40,7,23,30,9,0,0,0,0,0,0,0,0,161
2023-01-23 11:45:00,50,48,12,15,33,6,0,0,0,0,0,0,0,0,164
2023-01-23 12:00:00,48,59,17,23,40,16,0,0,0,0,0,0,0,0,203
2023-01-23 12:15:00,36,43,10,17,27,4,0,0,0,0,0,0,0,0,137
2023-01-23 12:30:00,46,57,5,19,30,10,0,0,0,0,0,0,0,0,167
2023-01-23 12:45:00,59,89,15,28,35,9,0,0,0,0,0,0,0,0,235
2023-01-23 13:00:00,56,71,10,20,27,10,0,0,0,0,0,0,0,0,194
2023-01-23 13:15:00,65,65,13,32,23,14,0,0,0,0,0,0,0,0,212
2023-01-23 13:30:00,44,61,9,15,14,10,0,0,0,0,0,0,0,0,153
2023-01-23 13:45:00,57,50,18,26,10,10,0,0,0,0,0,0,0,0,171
2023-01-23 14:00:00,53,70,14,28,23,5,0,0,0,0,0,0,0,0,193
2023-01-24 11:30:00,54,15,7,15,21,13,0,0,0,0,0,0,0,0,125
2023-01-24 11:45:00,68,19,1,24,22,18,0,0,0,0,0,0,0,0,152
2023-01-24 12:00:00,77,22,9,26,43,14,0,0,0,0,0,0,0,0,191
2023-01-24 12:15:00,62,27,8,26,29,12,0,0,0,0,0,0,0,0,164
2023-01-24 12:30:00,83,43,8,25,29,21,0,0,0,0,0,0,0,0,209
2023-01-24 12:45:00,51,23,6,18,26,13,0,0,0,0,0,0,0,0,137
2023-01-24 13:00:00,58,19,3,16,16,14,0,0,0,0,0,0,0,0,126
2023-01-24 13:15:00,83,30,12,26,24,12,0,0,0,0,0,0,0,0,187
2023-01-24 13:30:00,74,35,11,22,14,23,0,0,0,0,0,0,0,0,179
2023-01-24 13:45:00,101,42,11,39,27,16,0,0,0,0,0,0,0,0,236
2023-01-24 14:00:00,44,16,3,12,12,5,0,0,0,0,0,0,0,0,92
2023-01-25 11:30:00,27,41,12,20,23,11,0,0,0,0,0,0,0,0,134
2023-01-25 11:45:00,34,33,20,20,15,9,0,0,0,0,0,0,0,0,131
2023-01-25 12:00:00,45,44,12,27,13,4,0,0,0,0,0,0,0,0,145
2023-01-25 12:15:00,44,38,13,24,18,9,0,0,0,0,0,0,0,0,146
2023-01-25 12:30:00,58,59,25,42,19,16,0,0,0,0,0,0,0,0,219
2023-01-25 12:45:00,36,54,19,25,19,12,0,0,0,0,0,0,0,0,165
2023-01-25 13:00:00,29,31,10,22,8,7,0,0,0,0,0,0,0,0,107
2023-01-25 13:15:00,37,44,8,13,16,5,0,0,0,0,2,0,0,0,125
2023-01-25 13:30:00,45,58,21,22,9,15,0,0,0,1,11,0,0,1,183
2023-01-25 13:45:00,13,19,13,5,13,9,0,0,0,1,6,0,0,0,79
2023-01-25 14:00:00,54,49,10,14,20,7,0,0,0,3,31,0,0,0,188
2023-01-26 11:30:00,51,27,0,18,22,17,0,0,0,0,0,0,0,0,135
2023-01-26 11:45:00,87,33,0,33,33,19,0,0,0,0,0,0,0,0,205
2023-01-26 12:00:00,82,34,0,41,32,24,0,0,0,0,0,0,0,0,213
2023-01-26 12:15:00,55,40,0,16,21,18,0,0,0,0,0,0,0,0,150
2023-01-26 12:30:00,69,42,0,19,32,16,0,0,0,0,0,0,0,0,178
2023-01-26 12:45:00,54,30,0,18,23,11,0,0,0,0,0,0,0,0,136
2023-01-26 13:00:00,90,60,0,26,21,26,0,0,0,0,0,0,0,0,223
2023-01-26 13:15:00,105,67,0,27,38,41,0,0,0,0,1,0,0,0,279
2023-01-26 13:30:00,93,56,0,29,31,21,0,0,0,0,0,0,0,0,230
2023-01-26 13:45:00,93,28,0,25,41,21,0,0,0,0,0,0,0,0,208
2023-01-26 14:00:00,84,36,0,30,25,8,0,0,0,0,0,0,0,0,183
2023-01-27 11:30:00,25,20,3,14,15,8,0,0,0,0,0,0,0,0,85
2023-01-27 11:45:00,17,10,4,8,5,10,0,0,0,0,0,0,0,0,54
2023-01-27 12:00:00,39,23,15,22,29,17,0,0,0,0,0,0,0,0,145
2023-01-27 12:15:00,32,17,5,17,20,14,0,0,0,0,0,0,0,0,105
2023-01-27 12:30:00,32,25,5,21,24,14,0,0,0,0,0,0,0,0,121
2023-01-27 12:45:00,27,30,8,21,20,16,0,0,0,0,0,0,0,0,122
2023-01-27 13:00:00,39,50,15,27,19,25,0,0,0,0,0,0,0,0,175
2023-01-27 13:15:00,31,43,16,17,27,21,0,0,0,0,0,0,0,0,155
2023-01-27 13:30:00,33,17,8,8,20,15,0,0,0,0,0,0,0,0,101
2023-01-27 13:45:00,22,29,8,13,11,14,0,0,0,0,0,0,0,0,97
2023-01-27 14:00:00,10,14,6,3,3,3,0,0,0,0,0,0,0,0,39
2023-01-30 11:30:00,65,24,0,19,24,14,0,0,0,0,0,0,0,0,146
2023-01-30 11:45:00,67,31,0,24,36,19,0,0,0,0,0,0,0,0,177
2023-01-30 12:00:00,84,45,0,25,40,13,0,0,0,0,0,0,0,0,207
2023-01-30 12:15:00,43,20,0,21,15,5,0,0,0,0,0,0,0,0,104
2023-01-30 12:30:00,73,27,0,25,39,24,0,0,0,0,0,0,0,0,188
2023-01-30 12:45:00,49,18,0,21,22,16,0,0,0,0,0,0,0,0,126
2023-01-30 13:00:00,56,23,0,27,39,11,0,0,0,0,0,0,0,0,156
2023-01-30 13:15:00,52,40,0,18,62,6,0,0,0,0,0,0,0,0,178
2023-01-30 13:30:00,90,23,0,37,47,11,0,0,0,0,0,0,0,0,208
2023-01-30 13:45:00,76,37,0,26,38,8,0,0,0,0,0,0,0,0,185
2023-01-30 14:00:00,38,23,0,14,26,8,0,0,0,0,0,0,0,0,109
2023-01-31 11:30:00,54,34,0,21,16,17,0,0,0,0,0,0,0,0,142
2023-01-31 11:45:00,94,31,0,41,21,25,0,0,0,0,0,0,0,0,212
2023-01-31 12:00:00,94,37,0,42,34,19,0,0,0,0,0,0,0,0,226
2023-01-31 12:15:00,57,27,0,21,22,12,0,0,0,0,0,0,0,0,139
2023-01-31 12:30:00,70,34,0,35,31,21,0,0,0,0,0,0,0,0,191
2023-01-31 12:45:00,73,24,0,26,28,25,0,0,0,0,0,0,0,0,176
2023-01-31 13:00:00,110,36,0,50,25,19,0,0,0,0,0,0,0,0,240
2023-01-31 13:15:00,86,38,0,31,33,19,0,0,0,0,0,0,0,0,207
2023-01-31 13:30:00,76,29,0,29,21,19,0,0,0,0,0,0,0,0,174
2023-01-31 13:45:00,102,37,0,33,29,21,0,0,0,0,0,0,0,0,222
2023-01-31 14:00:00,64,33,0,21,32,20,0,0,0,0,0,0,0,0,170
2023-02-01 11:30:00,44,43,13,21,11,17,0,0,0,0,0,0,0,0,149
2023-02-01 11:45:00,68,82,17,21,23,24,0,0,0,0,0,0,0,0,235
2023-02-01 12:00:00,63,74,13,23,18,25,0,0,0,0,0,0,0,0,216
2023-02-01 12:15:00,57,97,21,30,12,22,0,0,0,0,0,0,0,0,239
2023-02-01 12:30:00,64,76,18,22,22,24,0,0,0,0,0,0,0,0,226
2023-02-01 12:45:00,59,77,21,28,17,19,0,0,0,0,0,0,0,0,221
2023-02-01 13:00:00,58,79,26,17,25,28,0,0,0,0,0,0,0,0,233
2023-02-01 13:15:00,73,83,18,34,23,22,0,0,0,0,0,0,0,0,253
2023-02-01 13:30:00,70,89,26,29,20,30,0,0,0,0,0,0,0,0,264
2023-02-01 13:45:00,59,62,16,19,20,21,0,0,0,0,0,0,0,0,197
2023-02-01 14:00:00,61,53,27,23,15,31,0,0,0,0,0,0,0,0,210
2023-02-02 11:30:00,59,32,6,30,24,15,0,0,0,0,0,0,0,0,166
2023-02-02 11:45:00,75,58,26,31,22,29,0,0,0,0,0,0,0,0,241
2023-02-02 12:00:00,75,81,16,48,29,12,0,0,0,0,0,0,0,0,261
2023-02-02 12:15:00,74,76,12,46,32,25,0,0,0,0,0,0,0,0,265
2023-02-02 12:30:00,68,74,16,30,36,22,0,0,0,0,0,0,0,0,246
2023-02-02 12:45:00,69,63,15,42,23,17,0,0,0,0,0,0,0,0,229
2023-02-02 13:00:00,75,71,15,29,29,26,0,0,0,0,0,0,0,0,245
2023-02-02 13:15:00,58,68,10,36,30,22,0,0,0,0,0,0,0,0,224
2023-02-02 13:30:00,73,65,12,30,33,27,0,0,0,0,0,0,0,0,240
2023-02-02 13:45:00,76,53,9,17,29,23,0,0,0,0,0,0,0,0,207
2023-02-02 14:00:00,74,63,10,16,24,26,0,0,0,0,0,0,0,0,213
2023-02-03 11:30:00,55,30,0,11,5,17,0,0,0,0,0,0,0,0,118
2023-02-03 11:45:00,38,18,0,8,7,9,0,0,0,0,0,0,0,0,80
2023-02-03 12:00:00,58,48,0,16,15,24,0,0,0,0,0,0,0,0,161
2023-02-03 12:15:00,44,22,0,6,11,15,0,0,0,0,0,0,0,0,98
2023-02-03 12:30:00,60,36,0,22,10,23,0,0,0,0,0,0,0,0,151
2023-02-03 12:45:00,44,25,0,13,15,11,0,0,0,0,0,0,0,0,108
2023-02-03 13:00:00,52,40,0,25,14,25,0,0,0,0,0,0,0,0,156
2023-02-03 13:15:00,42,35,0,8,17,18,0,0,0,0,0,0,0,0,120
2023-02-03 13:30:00,41,31,0,15,11,8,0,0,0,0,0,0,0,0,106
2023-02-03 13:45:00,50,34,0,14,17,12,0,0,0,0,0,0,0,0,127
2023-02-03 14:00:00,30,21,0,10,10,10,0,0,0,0,0,0,0,0,81
2023-02-06 11:30:00,55,24,0,15,18,10,0,0,0,0,0,0,0,0,122
2023-02-06 11:45:00,45,19,0,10,20,11,0,0,0,0,0,0,0,0,105
2023-02-06 12:00:00,77,43,0,26,27,13,0,0,0,0,0,0,0,0,186
2023-02-06 12:15:00,39,17,0,18,12,12,0,0,0,0,0,0,0,0,98
2023-02-06 12:30:00,60,31,0,24,35,10,0,0,0,0,0,0,0,0,160
2023-02-06 12:45:00,44,27,0,12,18,5,0,0,0,0,0,0,0,0,106
2023-02-06 13:00:00,53,26,0,13,23,9,0,0,0,0,0,0,0,0,124
2023-02-06 13:15:00,67,46,0,25,36,12,0,0,0,0,0,0,0,0,186
2023-02-06 13:30:00,91,36,0,29,32,17,0,0,0,0,0,0,0,0,205
2023-02-06 13:45:00,79,33,0,28,37,14,0,0,0,0,0,0,0,0,191
2023-02-06 14:00:00,16,24,0,6,12,9,0,0,0,0,0,0,0,0,67
2023-02-07 11:30:00,49,44,20,25,42,13,0,0,0,1,5,0,0,0,199
2023-02-07 11:45:00,37,41,14,30,35,10,0,0,0,0,2,0,0,1,170
2023-02-07 12:00:00,66,72,13,29,68,10,0,0,0,0,0,0,0,0,258
2023-02-07 12:15:00,51,48,8,26,29,16,0,0,0,0,1,0,0,0,179
2023-02-07 12:30:00,54,62,15,18,44,18,0,0,0,0,0,0,0,0,211
2023-02-07 12:45:00,35,21,7,12,20,9,0,0,0,0,0,0,0,0,104
2023-02-07 13:00:00,20,16,2,7,17,3,0,0,0,0,0,0,0,0,65
